0,1,10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0.0,-10000.556988475728,1
0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.0,-10000.524722066402,1
0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0.0,-10000.523644633977,1
1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0.0,-10000.51814267728,1
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0.0,-10000.513975389356,1
0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0.0,-10000.507352794346,1
0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0.0,-10000.507276914846,1
0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0.0,-10000.50431841276,1
1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0.0,-10000.502250710368,1
0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0.0,-10000.5018550926,1
0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0.0,-10000.5015860973,1
0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0.05,-10000.50036709107,1
0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.0,-10000.498682122125,1
1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0.0,-10000.498368788049,1
1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0.0,-10000.497326953417,1
1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0.0,-10000.494817972478,1
0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0.0,-10000.493596996064,1
