SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]
Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

External codes: 
  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]
  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)
  MPIR 3.0.0           Multiple Precision Integers and Rationals Library developed by W. Hart (mpir.org)
  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)
  PaPILO 1.0.2         parallel presolve for integer and linear optimization (https://github.com/lgottwald/PaPILO) [GitHash: 62d2842]
  bliss 0.73p          Computing Graph Automorphism Groups by T. Junttila and P. Kaski (http://www.tcs.hut.fi/Software/bliss/)
  Ipopt 3.12.9         Interior Point Optimizer developed by A. Waechter et.al. (www.coin-or.org/Ipopt)

user parameter file <scip.set> not found - using default parameters

read problem <C:\Users\claudio\Documents\GitHub\embedding\src\lp\N64_B0.5_diversified_classical\IPL_linearized_N64q2.00B32.lp>
============

original problem has 4160 variables (0 bin, 4160 int, 0 impl, 0 cont) and 12289 constraints

solve problem
=============

presolving:
(round 1, fast)       64 del vars, 64 del conss, 0 add conss, 0 chg bounds, 64 chg sides, 64 chg coeffs, 0 upgd conss, 0 impls, 8064 clqs
(round 2, fast)       64 del vars, 192 del conss, 0 add conss, 0 chg bounds, 64 chg sides, 64 chg coeffs, 0 upgd conss, 0 impls, 8064 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver found nothing
(round 3, exhaustive) 64 del vars, 192 del conss, 0 add conss, 0 chg bounds, 64 chg sides, 64 chg coeffs, 12096 upgd conss, 0 impls, 8064 clqs
(round 4, exhaustive) 64 del vars, 12288 del conss, 4032 add conss, 0 chg bounds, 64 chg sides, 64 chg coeffs, 12096 upgd conss, 0 impls, 8064 clqs
(round 5, exhaustive) 2080 del vars, 14304 del conss, 4032 add conss, 0 chg bounds, 64 chg sides, 64 chg coeffs, 12096 upgd conss, 0 impls, 4032 clqs
   (0.0s) probing: 51/2080 (2.5%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.0s) no symmetry present
presolving (6 rounds: 6 fast, 4 medium, 4 exhaustive):
 2080 deleted vars, 14304 deleted constraints, 4032 added constraints, 0 tightened bounds, 0 added holes, 64 changed sides, 64 changed coefficients
 0 implications, 4032 cliques
presolved problem has 2080 variables (2080 bin, 0 int, 0 impl, 0 cont) and 2017 constraints
   2016 constraints of type <and>
      1 constraints of type <linear>
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.0s|     1 |     0 |     0 |     - |  clique|   0 |2080 |2017 |4033 |   0 |  0 |   0 |   0 |-3.283267e-01 | 2.161416e-01 |    Inf | unknown
  0.0s|     1 |     0 |  1151 |     - |    46M |   0 |2080 |2017 |4033 |   0 |  0 |   0 |   0 |-1.165197e-01 | 2.161416e-01 |    Inf | unknown
  1.0s|     1 |     0 |  1450 |     - |    49M |   0 |2080 |2026 |4197 | 164 |  1 |   9 |   0 |-9.046821e-02 | 2.161416e-01 |    Inf | unknown
  1.0s|     1 |     0 |  1504 |     - |    50M |   0 |2080 |2027 |4213 | 180 |  2 |  10 |   0 |-8.871831e-02 | 2.161416e-01 |    Inf | unknown
  1.0s|     1 |     0 |  1564 |     - |    52M |   0 |2080 |2037 |4226 | 193 |  3 |  20 |   0 |-8.625246e-02 | 2.161416e-01 |    Inf | unknown
  1.0s|     1 |     0 |  1617 |     - |    53M |   0 |2080 |2038 |4241 | 208 |  4 |  21 |   0 |-8.492608e-02 | 2.161416e-01 |    Inf | unknown
  1.0s|     1 |     0 |  1697 |     - |    54M |   0 |2080 |2038 |4261 | 228 |  5 |  21 |   0 |-8.171924e-02 | 2.161416e-01 |    Inf | unknown
  1.0s|     1 |     0 |  1776 |     - |    55M |   0 |2080 |2047 |4278 | 245 |  6 |  30 |   0 |-7.975835e-02 | 2.161416e-01 |    Inf | unknown
  1.0s|     1 |     0 |  1827 |     - |    57M |   0 |2080 |2057 |4291 | 258 |  7 |  40 |   0 |-7.842345e-02 | 2.161416e-01 |    Inf | unknown
  2.0s|     1 |     0 |  1928 |     - |    59M |   0 |2080 |2067 |4316 | 283 |  8 |  50 |   0 |-7.664000e-02 | 2.161416e-01 |    Inf | unknown
  2.0s|     1 |     0 |  2024 |     - |    60M |   0 |2080 |2068 |4334 | 301 |  9 |  51 |   0 |-7.544677e-02 | 2.161416e-01 |    Inf | unknown
  2.0s|     1 |     0 |  2146 |     - |    62M |   0 |2080 |2078 |4362 | 329 | 10 |  61 |   0 |-7.221617e-02 | 2.161416e-01 |    Inf | unknown
  2.0s|     1 |     0 |  2211 |     - |    62M |   0 |2080 |2078 |4369 | 345 | 11 |  61 |   0 |-7.073539e-02 | 2.161416e-01 |    Inf | unknown
  2.0s|     1 |     0 |  2411 |     - |    63M |   0 |2080 |2088 |4398 | 374 | 12 |  71 |   0 |-6.814485e-02 | 2.161416e-01 |    Inf | unknown
  2.0s|     1 |     0 |  2621 |     - |    65M |   0 |2080 |2098 |4431 | 407 | 13 |  81 |   0 |-6.593797e-02 | 2.161416e-01 |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  2.0s|     1 |     0 |  2755 |     - |    67M |   0 |2080 |2099 |4461 | 437 | 14 |  82 |   0 |-6.453999e-02 | 2.161416e-01 |    Inf | unknown
  3.0s|     1 |     0 |  2966 |     - |    68M |   0 |2080 |2099 |4485 | 461 | 15 |  82 |   0 |-6.246721e-02 | 2.161416e-01 |    Inf | unknown
  3.0s|     1 |     0 |  3188 |     - |    69M |   0 |2080 |2099 |4511 | 487 | 16 |  82 |   0 |-5.978415e-02 | 2.161416e-01 |    Inf | unknown
  3.0s|     1 |     0 |  3367 |     - |    70M |   0 |2080 |2100 |4522 | 505 | 17 |  83 |   0 |-5.811286e-02 | 2.161416e-01 |    Inf | unknown
  3.0s|     1 |     0 |  3603 |     - |    74M |   0 |2080 |2101 |4540 | 523 | 18 |  84 |   0 |-5.538111e-02 | 2.161416e-01 |    Inf | unknown
  3.0s|     1 |     0 |  3777 |     - |    75M |   0 |2080 |2102 |4556 | 539 | 19 |  85 |   0 |-5.314448e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  4037 |     - |    78M |   0 |2080 |2103 |4573 | 556 | 20 |  86 |   0 |-5.117570e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  4296 |     - |    78M |   0 |2080 |2103 |4602 | 585 | 21 |  86 |   0 |-4.911385e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  4421 |     - |    78M |   0 |2080 |2103 |4611 | 594 | 22 |  86 |   0 |-4.868435e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  4711 |     - |    78M |   0 |2080 |2103 |4601 | 604 | 23 |  86 |   0 |-4.784916e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  4853 |     - |    78M |   0 |2080 |2104 |4618 | 621 | 24 |  87 |   0 |-4.751106e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  5063 |     - |    78M |   0 |2080 |2104 |4635 | 638 | 25 |  87 |   0 |-4.698873e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  5177 |     - |    78M |   0 |2080 |2105 |4651 | 654 | 26 |  88 |   0 |-4.681609e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  5319 |     - |    78M |   0 |2080 |2106 |4657 | 660 | 27 |  89 |   0 |-4.660366e-02 | 2.161416e-01 |    Inf | unknown
  4.0s|     1 |     0 |  5407 |     - |    78M |   0 |2080 |2116 |4663 | 666 | 28 |  99 |   0 |-4.651609e-02 | 2.161416e-01 |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  8.0s|     1 |     0 |  5470 |     - |    78M |   0 |2080 |2117 |4642 | 675 | 29 | 100 |   0 |-4.645044e-02 | 2.161416e-01 |    Inf | unknown
  8.0s|     1 |     0 |  5603 |     - |    78M |   0 |2080 |2117 |4647 | 680 | 30 | 100 |   0 |-4.632755e-02 | 2.161416e-01 |    Inf | unknown
  8.0s|     1 |     0 |  5651 |     - |    78M |   0 |2080 |2117 |4652 | 685 | 31 | 100 |   0 |-4.631760e-02 | 2.161416e-01 |    Inf | unknown
  8.0s|     1 |     0 |  5721 |     - |    78M |   0 |2080 |2118 |4657 | 690 | 32 | 101 |   0 |-4.627806e-02 | 2.161416e-01 |    Inf | unknown
