0,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0.0,-13.895586709022751,1
0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0.0,-13.889706864414535,1
0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0.0,-13.882061989335286,1
1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0.0,-13.87421917103869,1
0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0.0,-13.871396296290637,1
0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0.0,-13.86711439714411,1
0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0.0,-13.86628781395212,1
0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0.0,-13.86529249828289,1
1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0.0,-13.862893542101506,1
1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0.0,-13.860442524965654,1
1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0.0,-13.858677946258167,1
0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0.0,-13.858137090531995,1
1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0.0,-13.857237710611976,1
1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0.0,-13.856279144602395,1
1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0.0,-13.852421906102144,1
0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.0,-13.85053373097023,1
1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0.0,-13.842361354567199,1
1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0.0,-13.84045361558268,1
0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0.0,-13.840205745074599,1
1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0.0,-13.838807008267223,1
0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0.0,-13.838600739986838,1
0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0.0625,-13.838334572040214,1
0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0.0,-13.837719547987442,1
1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.0,-13.837003215407208,1
0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0.0,-13.835722910282994,1
0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0.0,-13.834233105124785,1
1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0.0,-13.833584771340947,1
1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0.0,-13.833189489836776,1
0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0.0,-13.831524093027912,1
0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-13.83125996559086,1
0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0.0,-13.83070114658709,2
0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.0,-13.830240928825555,2
1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0.0,-13.828616955137273,1
1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0.0,-13.827892327566987,1
0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0.0,-13.82631669656635,1
1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0.0,-13.825167438624224,1
0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0.0,-13.82499943623197,1
0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0.0,-13.824624376397939,1
0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0.0,-13.822978846447395,1
1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0.0,-13.822437590147594,1
1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0.0,-13.822424182978434,1
1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0.0,-13.82229508625773,1
0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0.0,-13.821503548146849,1
